12 12
[ [ 1, 12, 4, 5, 7, 11, 3, 75, 90, 10, 11, 50 ] ,
[ 25, 3, 41, 55, 100, 32, 324, 493, 392, 1, 55, 60 ],
[ 5, 2, 100, 23, 10, 22, 24, 93, 92, 15, 50, 70 ],
[ 2, 15, 1, 5, 13, 2, 34, 43, 32, 5, 54, 100 ],
[ 3, 9, 14, 34, 94, 23, 32, 49, 39, 19, 551, 10 ],
[ 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 20 ],
[ 15, 17, 22, 55, 43, 20, 14, 54, 85, 14, 32, 30 ],
[ 94, 32, 411, 553, 1001, 322, 3324, 1493, 4392, 12, 515, 300 ],
[ 40, 30, 20, 10, 100, 50, 60, 70, 80, 90, 0, 400 ],
[ 33, 31, 14, 91, 54, 29, 50, 15, 89, 10, 75, 200 ],
[ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1 ] ]
